destination,budget_available,flight_available,accommodation_available,weather_available,destination_characteristics_available,total_active_weight
Agra,1,0,1,1,1,3.0999999999999996
Ahmedabad,1,0,1,1,1,3.0999999999999996
Alappuzha,1,0,1,1,1,3.0999999999999996
Amritsar,1,0,1,1,1,3.0999999999999996
Andaman,0,0,0,1,1,1.6
Bengaluru,1,1,1,1,1,3.7
Bhopal,1,0,1,1,1,3.0999999999999996
Bhubaneswar,1,0,1,1,1,3.0999999999999996
Chennai,1,0,1,1,1,3.0999999999999996
Coorg,0,0,0,1,1,1.6
Darjeeling,1,0,1,1,1,3.0999999999999996
Delhi,1,1,1,1,1,3.7
Dharamshala,1,0,1,1,1,3.0999999999999996
Gangtok,1,0,1,1,1,3.0999999999999996
Goa,1,1,1,1,1,3.7
Gokarna,1,0,1,1,1,3.0999999999999996
Hampi,1,0,1,1,1,3.0999999999999996
Hyderabad,1,0,1,1,1,3.0999999999999996
Indore,1,0,1,1,1,3.0999999999999996
Jaipur,1,1,1,1,1,3.7
Jaisalmer,1,0,1,1,1,3.0999999999999996
Jim Corbett,0,0,0,1,1,1.6
Jodhpur,1,0,1,1,1,3.0999999999999996
Kaziranga,0,0,0,1,1,1.6
Kochi,1,0,1,1,1,3.0999999999999996
Kodaikanal,0,0,0,1,1,1.6
Kolkata,1,0,1,1,1,3.0999999999999996
Ladakh,0,0,0,1,1,1.6
Mahabalipuram,0,0,0,1,1,1.6
Manali,1,0,1,1,1,3.0999999999999996
Mumbai,1,1,1,1,1,3.7
Munnar,1,1,1,1,1,3.7
Mussoorie,1,0,1,1,1,3.0999999999999996
Mysore,1,0,1,1,1,3.0999999999999996
Nainital,1,0,1,1,1,3.0999999999999996
Ooty,1,0,1,1,1,3.0999999999999996
Pahalgam,0,0,0,1,1,1.6
Pondicherry,1,0,1,1,1,3.0999999999999996
Pune,1,0,1,1,1,3.0999999999999996
Ranchi,0,0,0,1,1,1.6
Ranthambore,1,0,1,1,1,3.0999999999999996
Rishikesh,1,0,1,1,1,3.0999999999999996
Shillong,0,0,0,1,1,1.6
Shimla,1,0,1,1,1,3.0999999999999996
Srinagar,1,1,1,1,1,3.7
Thiruvananthapuram,1,0,1,1,1,3.0999999999999996
Udaipur,1,1,1,1,1,3.7
Varanasi,1,0,1,1,1,3.0999999999999996
Varkala,1,0,1,1,1,3.0999999999999996
Wayanad,0,0,0,1,1,1.6
