destination_index,destination
0,Agra
1,Ahmedabad
2,Alappuzha
3,Amritsar
4,Andaman
5,Bengaluru
6,Bhopal
7,Bhubaneswar
8,Chennai
9,Coorg
10,Darjeeling
11,Delhi
12,Dharamshala
13,Gangtok
14,Goa
15,Gokarna
16,Hampi
17,Hyderabad
18,Indore
19,Jaipur
20,Jaisalmer
21,Jim Corbett
22,Jodhpur
23,Kaziranga
24,Kochi
25,Kodaikanal
26,Kolkata
27,Ladakh
28,Mahabalipuram
29,Manali
30,Mumbai
31,Munnar
32,Mussoorie
33,Mysore
34,Nainital
35,Ooty
36,Pahalgam
37,Pondicherry
38,Pune
39,Ranchi
40,Ranthambore
41,Rishikesh
42,Shillong
43,Shimla
44,Srinagar
45,Thiruvananthapuram
46,Udaipur
47,Varanasi
48,Varkala
49,Wayanad
