Destination,State,Category,Best_Season,Average_Budget,Recommended_Trip_Duration,Nearest_Airport,Popularity,Family_Friendly,Adventure_Score
Goa,Goa,Beach,Nov-Feb,30000,4,Goa Airport,High,Yes,6
Ladakh (Leh),Ladakh,Mountain,Mar-Jun,35000,5,Ladakh Airport,High,Yes,9
Jaipur,Rajasthan,Heritage,Oct-Mar,22000,3,Jaipur Airport,High,Yes,3
Varanasi (Kashi),Uttar Pradesh,Spiritual,Oct-Mar,18000,2,Varanasi Airport,High,Yes,2
Agra,Uttar Pradesh,Heritage,Oct-Mar,22000,3,Agra Airport,High,Yes,3
Udaipur,Rajasthan,Heritage,Oct-Mar,22000,3,Udaipur Airport,High,Yes,3
Kerala Backwaters (Alappuzha & Kumarakom),Kerala,Backwaters,Oct-Mar,25000,3,Kerala Backwaters Airport,High,Yes,5
Coorg (Kodagu),Karnataka,Hill Station,Mar-Jun,35000,5,Coorg Airport,High,Yes,9
Ziro Valley,Arunachal Pradesh,Valley,Mar-Jun,35000,5,Ziro Valley Airport,High,Yes,9
Mawlynnong & nearby,Meghalaya,Nature,Oct-Mar,25000,3,Mawlynnong & nearby Airport,High,Yes,7
Shimla,Himachal Pradesh,Hill Station,Mar-Jun,35000,5,Shimla Airport,High,Yes,9
Dharamshala & McLeod Ganj,Himachal Pradesh,Hill Station,Mar-Jun,35000,5,Dharamshala & McLeod Ganj Airport,High,Yes,9
Manali,Himachal Pradesh,Hill Station,Mar-Jun,35000,5,Manali Airport,High,Yes,9
Tawang,Arunachal Pradesh,Mountain,Mar-Jun,35000,5,Tawang Airport,High,Yes,9
Khajjiar,Himachal Pradesh,Hill Station,Mar-Jun,35000,5,Khajjiar Airport,High,Yes,9
Spiti Valley,Himachal Pradesh,Adventure,Mar-Jun,35000,5,Spiti Valley Airport,High,Yes,9
Nubra Valley,Ladakh,Adventure,Mar-Jun,35000,5,Nubra Valley Airport,High,Yes,9
Pangong Lake,Ladakh,Lake,Oct-Mar,25000,3,Pangong Lake Airport,High,Yes,5
Ooty,Tamil Nadu,Hill Station,Mar-Jun,35000,5,Ooty Airport,High,Yes,9
Munnar,Kerala,Hill Station,Mar-Jun,35000,5,Munnar Airport,High,Yes,9
Kanyakumari,Tamil Nadu,Coastal,Nov-Feb,30000,4,Kanyakumari Airport,High,Yes,6
Rann of Kutch,Gujarat,Desert,Oct-Mar,25000,3,Rann of Kutch Airport,High,Yes,5
Dhanushkodi,Tamil Nadu,Coastal,Nov-Feb,30000,4,Dhanushkodi Airport,High,Yes,6
Chitrakote Falls,Chhattisgarh,Waterfall,Oct-Mar,25000,3,Chitrakote Falls Airport,High,Yes,7
Gokarna,Karnataka,Beach,Nov-Feb,30000,4,Gokarna Airport,High,Yes,6
Pondicherry,Puducherry,Coastal,Nov-Feb,30000,4,Pondicherry Airport,High,Yes,6
Hampi,Karnataka,Heritage,Oct-Mar,22000,3,Hampi Airport,High,Yes,3
Majuli Island,Assam,Island,Nov-Feb,30000,4,Majuli Island Airport,High,Yes,6
Araku Valley,Andhra Pradesh,Valley,Mar-Jun,35000,5,Araku Valley Airport,High,Yes,9
Varkala,Kerala,Beach,Nov-Feb,30000,4,Varkala Airport,High,Yes,6
Havelock Island,Andaman & Nicobar,Island,Nov-Feb,30000,4,Havelock Island Airport,High,Yes,6
Neil Island,Andaman & Nicobar,Island,Nov-Feb,30000,4,Neil Island Airport,High,Yes,6
Shillong,Meghalaya,Hill Station,Mar-Jun,35000,5,Shillong Airport,High,Yes,9
Cherrapunji,Meghalaya,Nature,Oct-Mar,25000,3,Cherrapunji Airport,High,Yes,7
Dawki,Meghalaya,Nature,Oct-Mar,25000,3,Dawki Airport,High,Yes,7
Krang Suri Falls,Meghalaya,Waterfall,Oct-Mar,25000,3,Krang Suri Falls Airport,High,Yes,7
Rishikesh,Uttarakhand,Adventure,Mar-Jun,35000,5,Rishikesh Airport,High,Yes,9
Haridwar,Uttarakhand,Spiritual,Oct-Mar,18000,2,Haridwar Airport,High,Yes,2
Amritsar,Punjab,Spiritual,Oct-Mar,18000,2,Amritsar Airport,High,Yes,2
Kanatal,Uttarakhand,Hill Station,Mar-Jun,35000,5,Kanatal Airport,High,Yes,9
Binsar,Uttarakhand,Wildlife,Oct-Mar,25000,3,Binsar Airport,High,Yes,7
Munsiyari,Uttarakhand,Mountain,Mar-Jun,35000,5,Munsiyari Airport,High,Yes,9
Chakrata,Uttarakhand,Hill Station,Mar-Jun,35000,5,Chakrata Airport,High,Yes,9
Kanha National Park,Madhya Pradesh,Wildlife,Oct-Mar,25000,3,Kanha National Park Airport,High,Yes,7
Ranthambore National Park,Rajasthan,Wildlife,Oct-Mar,25000,3,Ranthambore National Park Airport,High,Yes,7
Bandhavgarh National Park,Madhya Pradesh,Wildlife,Oct-Mar,25000,3,Bandhavgarh National Park Airport,High,Yes,7
Tadoba Andhari Tiger Reserve,Maharashtra,Wildlife,Oct-Mar,25000,3,Tadoba Andhari Tiger Reserve Airport,High,Yes,7
Lakshadweep Circuit,Lakshadweep,Island,Nov-Feb,30000,4,Lakshadweep Circuit Airport,High,Yes,6
Kalpeni Island,Lakshadweep,Island,Nov-Feb,30000,4,Kalpeni Island Airport,High,Yes,6
Jaisalmer,Rajasthan,Desert,Oct-Mar,25000,3,Jaisalmer Airport,High,Yes,5
Kutch Interior Circuit,Gujarat,Cultural,Oct-Mar,22000,3,Kutch Interior Circuit Airport,High,Yes,3
Wayanad,Kerala,Hill Station,Mar-Jun,35000,5,Wayanad Airport,High,Yes,9
Tamhini Ghat & Mulshi,Maharashtra,Nature,Oct-Mar,25000,3,Tamhini Ghat & Mulshi Airport,High,Yes,7
Mahabaleshwar & Panchgani,Maharashtra,Hill Station,Mar-Jun,35000,5,Mahabaleshwar & Panchgani Airport,High,Yes,9
Chikmagalur,Karnataka,Hill Station,Mar-Jun,35000,5,Chikmagalur Airport,High,Yes,9
Amboli Ghat,Maharashtra,Nature,Oct-Mar,25000,3,Amboli Ghat Airport,High,Yes,7
Agumbe,Karnataka,Rainforest,Oct-Mar,25000,3,Agumbe Airport,High,Yes,7
Kudremukh,Karnataka,Mountain,Mar-Jun,35000,5,Kudremukh Airport,High,Yes,9
Port Blair,Andaman & Nicobar,Island,Nov-Feb,30000,4,Port Blair Airport,High,Yes,6
Darjeeling,West Bengal,Hill Station,Mar-Jun,35000,5,Darjeeling Airport,High,Yes,9
Gangtok,Sikkim,Hill Station,Mar-Jun,35000,5,Gangtok Airport,High,Yes,9
North Sikkim,Sikkim,Adventure,Mar-Jun,35000,5,North Sikkim Airport,High,Yes,9
Meghalaya Circuit,Meghalaya,Nature,Oct-Mar,25000,3,Meghalaya Circuit Airport,High,Yes,7
Kaziranga,Assam,Wildlife,Oct-Mar,25000,3,Kaziranga Airport,High,Yes,7
Khajuraho & Panna,Madhya Pradesh,Heritage,Oct-Mar,22000,3,Khajuraho & Panna Airport,High,Yes,3
