origin,destination,avg_flight_cost_inr
Goa,Hyderabad,3900
Goa,Delhi,3100
Goa,Nagpur,3400
Goa,Lucknow,3000
Goa,Mumbai,4000
Goa,Ahmedabad,3800
Goa,Bengaluru,3400
Goa,Chennai,3100
Goa,Surat,3700
Goa,Indore,3300
Goa,Mysore,3600
Goa,Aurangabad,3700
Goa,Kannur International Airport,2300
Goa,Ranchi,2800
Goa,Raipur,2300
Goa,Chandigarh,3700
Goa,Pune,3800
Goa,Coimbatore,3800
Goa,Kolkata,4000
Goa,Nasik,3200
Goa,MIHAN,2800
Goa,Kochi,3900
Goa,Amritsar,3500
Goa,Jaipur,3100
Kolkata,Delhi,4400
Kolkata,Nagpur,3500
Kolkata,Bagdogra,4300
Kolkata,Pune,2800
Kolkata,Guwahati,3900
Kolkata,Surat,2500
Kolkata,Agartala,3900
Kolkata,Rupsi,2400
Kolkata,Indore,3600
Kolkata,Silchar,2800
Kolkata,Jharsuguda,3100
Kolkata,Lilabari,7100
Kolkata,Port Blair,6200
Kolkata,Hyderabad,3500
Kolkata,Varanasi,3100
Kolkata,MIHAN,3700
Kolkata,Dimapur,2800
Kolkata,Lucknow,4000
Kolkata,Shillong,3800
Kolkata,Imphal,3000
Kolkata,Patna,2600
Kolkata,Gorakhpur,3400
Kolkata,Jaipur,3700
Kolkata,Ranchi,3700
Kolkata,Raipur,3800
Kolkata,Chandigarh,3800
Kolkata,Chennai,3900
Kolkata,Jorhat,6900
Kolkata,Jammu,5000
Kolkata,Dibrugarh,7300
Kolkata,Bengaluru,3900
Kolkata,Aizwal,3800
Kolkata,Darbhanga,4000
Kolkata,Bhopal,2900
Kolkata,Ahmedabad,3800
Kolkata,Mumbai,3300
Srinagar,Bengaluru,3600
Srinagar,Kolkata,4000
Srinagar,Ahmedabad,4800
Srinagar,Delhi,5300
Srinagar,Mumbai,5000
Srinagar,Chandigarh,4300
Srinagar,Jammu,3700
Srinagar,Leh,5600
Srinagar,Amritsar,4600
Srinagar,Hyderabad,4300
Srinagar,Lucknow,3800
Kandla,Delhi,3600
Kandla,Mumbai,3800
Kandla,Ahmedabad,2300
Nasik,Ahmedabad,3000
Nasik,Delhi,4100
Nasik,Hyderabad,3900
Nasik,Indore,3100
Nasik,Goa,3500
Nasik,Pune,2500
Nasik,Nagpur,3700
Nasik,MIHAN,2000
Nasik,Bengaluru,2800
Aurangabad,Mumbai,3200
Aurangabad,Bengaluru,3200
Aurangabad,Goa,3600
Aurangabad,Hyderabad,3100
Aurangabad,Delhi,2700
Aurangabad,Udaipur,2600
Aurangabad,Ahmedabad,3100
Jalgaon,Mumbai,2700
Jalgaon,Ahmedabad,2900
Keshod,Ahmedabad,3100
Keshod,Mumbai,3100
Keshod,Diu,3000
Indore,Delhi,3300
Indore,Mumbai,3000
Indore,Kishangarh,2900
Indore,Hyderabad,3900
Indore,Bengaluru,3300
Indore,Goa,2600
Indore,Jaipur,2500
Indore,Allahabad,3300
Indore,Pune,3500
Indore,Kolkata,4200
Indore,Gwalior,3000
Indore,Jabalpur,2500
Indore,Shirdi Airport,3600
Indore,Nasik,2800
Indore,Nagpur,3900
Indore,MIHAN,3500
Indore,Lucknow,3700
Indore,Jodhpur,2200
Indore,Ahmedabad,3000
Indore,Raipur,2300
Indore,Chandigarh,2900
Indore,Udaipur,2600
Indore,Chennai,4000
Indore,Surat,3400
Indore,Jammu,4600
Indore,Vadodara,3000
Indore,Belgaum,2800
Indore,Varanasi,3000
Jaisalmer,Delhi,3300
Jaisalmer,Ahmedabad,3500
Jaisalmer,Mumbai,3900
Jaisalmer,Jaipur,2500
Jaisalmer,Bengaluru,2900
Jaisalmer,Surat,3500
Jaisalmer,Udaipur,3000
Jaisalmer,Hyderabad,2800
Hyderabad,Kolhapur,2600
Hyderabad,Visakhapatnam,3000
Hyderabad,Salem,2700
Hyderabad,Rajahmundry,3900
Hyderabad,Patna,3100
Hyderabad,Jodhpur,4000
Hyderabad,Vijayawada,4100
Hyderabad,Raipur,3200
Hyderabad,Pune,3800
Hyderabad,Udaipur,3300
Hyderabad,Tirupati,3400
Hyderabad,Chennai,4200
Hyderabad,Surat,2500
Hyderabad,Tiruchirappalli,2500
Hyderabad,Srinagar,5600
Hyderabad,Jabalpur,3700
Hyderabad,Mysore,2500
Hyderabad,Shirdi Airport,3000
Hyderabad,Nanded,3200
Hyderabad,Varanasi,3000
Hyderabad,Rajkot,4100
Hyderabad,Jharsuguda,4000
Hyderabad,Kochi,3500
Hyderabad,Ahmedabad,3600
Hyderabad,Jaipur,2600
Hyderabad,Bengaluru,3400
Hyderabad,Goa,4200
Hyderabad,Kolkata,4100
Hyderabad,Delhi,3600
Hyderabad,Bhubaneswar,3000
Hyderabad,Mumbai,3500
Hyderabad,Coimbatore,3500
Hyderabad,Mangalore,3000
Hyderabad,Aurangabad,3200
Hyderabad,Belgaum,3100
Hyderabad,Guwahati,2800
Delhi,Bengaluru,3000
Delhi,Guwahati,3500
Delhi,Bhopal,3700
Delhi,Goa,3000
Delhi,Kolkata,3300
Delhi,Kochi,4200
Delhi,Mumbai,3000
Delhi,Dehradun,3900
Delhi,Bikaner,3900
Delhi,Kangra,2500
Delhi,Dibrugarh,6800
Delhi,Gaya,2800
Delhi,Dimapur,2600
Delhi,Darbhanga,4000
Delhi,Coimbatore,3900
Delhi,Amritsar,3700
Delhi,Ahmedabad,3100
Delhi,Bhubaneswar,3500
Delhi,Vadodara,3700
Delhi,Srinagar,5400
Delhi,Visakhapatnam,3400
Delhi,Pune,3300
Delhi,Surat,3900
Delhi,Varanasi,3900
Varanasi,Delhi,3900
Varanasi,Mumbai,2500
Varanasi,Ahmedabad,3900
Varanasi,Bengaluru,3500
Varanasi,Kolkata,3300
Varanasi,Agra,3600
Varanasi,Khajuraho,5200
Varanasi,Bhubaneswar,3700
Varanasi,Hyderabad,2700
Varanasi,Jaipur,2700
Varanasi,Vadodara,2300
Varanasi,Guwahati,3400
Varanasi,Chennai,3200
Varanasi,Patna,3500
Varanasi,Lucknow,3400
Varanasi,Pantnagar,2600
Varanasi,Gaya,2600
Varanasi,Jammu,4100
Varanasi,Dehradun,2800
Bagdogra,Mumbai,4900
Bagdogra,Bengaluru,3800
Bagdogra,Delhi,4000
Bagdogra,Guwahati,4800
Bagdogra,Chennai,5100
Bagdogra,Kolkata,4100
Bagdogra,Dibrugarh,6100
Bagdogra,Hyderabad,4700
Bagdogra,Ahmedabad,3900
Bagdogra,Jaipur,5200
Lucknow,Hyderabad,3300
Lucknow,Delhi,3200
Lucknow,Mumbai,3600
Lucknow,Ahmedabad,2900
Lucknow,Bengaluru,2800
Lucknow,Chandigarh,2900
Lucknow,Chennai,3700
Lucknow,Goa,3900
Lucknow,Varanasi,2600
Lucknow,Gorakhpur,3900
Lucknow,Dehradun,3100
Lucknow,Nagpur,4100
Lucknow,MIHAN,3800
Lucknow,Amritsar,3300
Lucknow,Patna,3200
Lucknow,Agra,2900
Lucknow,Jaipur,2400
Lucknow,Ranchi,2200
Lucknow,Indore,3200
Lucknow,Allahabad,3200
Lucknow,Pune,2900
Lucknow,Guwahati,3500
Lucknow,Pantnagar,2900
Lucknow,Jammu,4600
Lucknow,Bhopal,2400
Lucknow,Kolkata,4000
Lucknow,Kochi,2700
Lucknow,Raipur,3500
Lucknow,Jharsuguda,3800
Kochi,Thiruvananthapuram,2900
Kochi,Mumbai,3500
Kochi,Bengaluru,3800
Kochi,Kolkata,3700
Kochi,Delhi,3200
Kochi,Chennai,4100
Kochi,Hyderabad,4000
Kochi,Salem,3300
Kochi,Agatti,6300
Kochi,Mysore,2800
Kochi,Calicut,3000
Kochi,MIHAN,2400
Kochi,Visakhapatnam,3800
Kochi,Kannur International Airport,3800
Kochi,Ahmedabad,3400
Kochi,Pune,2800
Kochi,Hubli,2900
Kochi,Tiruchirappalli,3100
Kochi,Goa,3800
Kochi,Mangalore,3700
